 ,301430
?,660
ँ,776
ं,22727
ः,45
अ,7591
आ,9841
इ,3898
ई,2581
उ,5774
ऊ,391
ऋ,677
ऍ,1
ए,8948
ऐ,533
ऑ,618
ओ,1022
औ,532
क,86187
ख,10677
ग,18293
घ,1359
ङ,55
च,9208
छ,30533
ज,26051
झ,558
ञ,291
ट,12777
ठ,1159
ड,6331
ढ,665
ण,4719
त,37432
थ,3430
द,20812
ध,7499
न,43475
प,32554
फ,5614
ब,29296
भ,10850
म,42360
य,39325
र,85898
ऱ,1
ल,50869
ळ,33
व,21458
श,9193
ष,5595
स,44815
ह,25616
़,436
ऽ,2597
ा,103917
ि,39332
ी,39702
ु,16922
ू,9785
ृ,2453
ॅ,50
े,75952
ै,43039
ॉ,1168
ो,48495
ौ,2884
्,49477
क़,35
ख़,35
ग़,3
ज़,327
ड़,3386
ढ़,1030
फ़,84
०,1
॰,1
