 ,456173
?,587
ँ,11788
ं,37452
ः,233
अ,26918
आ,17997
इ,17916
ई,7586
उ,11288
ऊ,702
ऋ,1663
ऍ,4
ए,9470
ऐ,350
ऑ,545
ओ,3199
औ,751
क,156690
ख,16616
ग,27726
घ,2724
ङ,96
च,13619
छ,42347
ज,42694
झ,1134
ञ,479
ट,22122
ठ,1965
ड,11487
ढ,1304
ण,9600
त,85222
थ,7758
द,31924
ध,14174
न,71880
प,54239
फ,8079
ब,48429
भ,18835
म,62869
य,51375
र,120285
ल,74168
व,37529
श,16803
ष,10795
स,75464
ह,39615
़,4165
ऽ,3311
ा,164253
ि,84242
ी,49526
ु,23982
ू,16455
ृ,4813
ॄ,1
ॅ,2666
े,101509
ै,48869
ॉ,1904
ो,36994
ौ,4820
्,88941
॑,253
क़,8
ख़,8
ग़,4
ज़,108
ड़,2009
ढ़,406
फ़,83
ॠ,33
ॢ,2
०,1
२,4
४,2
