 ,384977
6,3
?,84
ँ,489
ं,36464
ः,23
अ,16248
आ,9628
इ,10971
ई,9999
उ,15869
ऊ,608
ऋ,669
ऍ,1
ए,9733
ऐ,140
ऑ,780
ओ,3148
औ,511
क,115187
ख,22365
ग,24546
घ,1814
ङ,5
च,11598
छ,3325
ज,41191
झ,551
ञ,253
ट,18792
ठ,1437
ड,8982
ढ,1691
ण,4734
त,54251
थ,4064
द,24920
ध,10334
न,56631
प,40254
फ,6801
ब,43775
भ,12326
म,53174
य,26369
र,99397
ल,80742
ळ,19
व,40695
श,10378
ष,4726
स,59034
ह,40330
़,2074
ऽ,31
ा,177558
ि,50872
ी,48161
ु,17005
ू,11949
ृ,1825
ॅ,2
ॆ,3
े,129153
ै,7068
ॉ,1274
ॊ,2
ो,33448
ौ,2898
्,49639
क़,43
ख़,253
ग़,9
ज़,211
ड़,3658
ढ़,1281
फ़,292
ॠ,2
०,8
१,3
२,4
४,1
५,1
७,3
८,1
